achievement	[ə'tʃi:vmənt]	postignuće, ispunjenje
acid	['æsɪd]	kiseo, kiselina
acidity	[ə'sɪdɪti]	kiselost
acknowledge	[ək'nɔlɪdʒ]	priznati, overiti
acknowledgement	[ək'nɔlɪdʒmənt]	priznanje, potvrda
acme	['ækmɪ]	vrhunac
acne	['æknɪ]	akna, bubuljica
acorn	['eɪkɔ:n]	žir (sa hrasta)
acquaint	[ə'kweɪnt]	upoznati
acquaintance	[ə'kweɪntəns]	poznanstvo
acquiesce	[ækwɪ'əs]	pristati, prihvatiti
acquiescence	[ækwi:esəns]	dopuštanje
acquire	[ə'kwaɪə(r)]	steći, postići
acquisition	[ækwɪ'zɪʃən]	dobitak, postignuće
acquit	[ə'kwɪt]	osloboditi, razrešiti
acquittal	[ə'kwɪtl]	oslobađanje (optužbe)
acquittance	[əkwɪtns]	namirenje, oslobođenje
acre	['eɪkə(r)]	jutro (mera za površinu njive)
acrimonious	[ækrɪ'məunɪəs]	ogorčen, ljut
acrimony	['ækrɪməni]	ljutina, ogorčenost
acrobat	['ækrəbæt]	akrobat
acrobatic	[ækrə'bætɪk]	akrobatski
across	[ə'krɔs]	preko, popreko
act	[ækt]	delo, čin, delovati
action	['ækʃən]	akcija
activate	['æktɪveɪt]	aktivirati
active	['æktɪv]	aktivan
activity	[æk'tɪvɪti]	aktivnost, delatnost
actor	['æktə(r)]	glumac
actress	['æktrɪs]	glumica
actual	['æktjuəl]	sadašnji, zbiljski
actually	['æktjuəli]	zaista, sada
actuate	['æktjueɪt]	potaknuti, pokrenuti
acupuncture	['ækjupʌŋktʃə(r)]	akupunktura
acute	[ə'kju:t]	oštar, jak
acuteness	[əkju:tnɪs]	oštrina, bistrina
adapt	[ə'dæpt]	prilagoditi, preurediti
adaptable	[ə'dæptəbl]	prilagodljiv
adaptation	[ædæp'teɪʃən]	prilagođavanje, podešavanje
adaptive	[ədæptɪv]	prilagodljiv, podesiv
add	[æd]	dodati
 


adder	['ædə(r)]	zmija, guja
addict	['ædɪkt]	ovisnik, narkoman, izručiti, predati
addiction	[ə'dɪkʃən]	ovisnost, odanost
addition	[ə'dɪʃən]	dodatak
additional	[ə'dɪʃənl]	dodatni
address	[ə'drəs]	adresa
adept	['ædəpt]	spretan, upućen
adequate	['ædɪkwɪt]	odgovarajući, primeren
adhere	[əd'hɪə(r)]	prijanjati, biti uz
adherence	[ædhɪrəns]	pridržavanje (pravila)
adherent	[ædhɪrənt]	pristalica
